Date,FIPS,Week,Dist_Total,Dist_Janssen,Dist_Moderna,Dist_Pfizer,Given_Total,Given_Janssen,Given_Moderna,Given_Pfizer
2021-10-25,10,43,1632535,68700,642580,921255,1283811,51753,481740,748798
2021-10-25,6,43,61486935,2929000,23220200,35337735,53283990,1914460,19787224,31567810
2021-10-25,5,43,4323790,202800,1879900,2241090,3189087,101226,1339426,1745408
2021-10-25,54,43,3121575,131200,1241480,1748895,1587090,42182,703314,841180
2021-10-25,35,43,3142365,151200,1293960,1697205,2957067,100343,1196085,1654186
2021-10-25,1,43,7058840,317500,3136300,3605040,4773728,141424,2064013,2568140
2021-10-25,38,43,997460,42400,388300,566760,799769,33628,301658,464184
2021-10-25,25,43,11646150,503500,4520780,6621870,10260823,342894,3847701,6069745
2021-10-25,41,43,7108555,375800,2806340,3926415,5534888,230082,2010828,3289388
2021-10-25,33,43,2265530,130700,865380,1269450,1884965,94605,711162,1079135
2021-10-25,4,43,10500600,479800,4186400,5834400,8656911,298512,3413867,4928770
2021-10-25,13,43,15353515,658300,6317340,8377875,11223622,281161,4417065,6515099
2021-10-25,18,43,8881960,472700,3313940,5095320,7100607,260800,2544447,4270185
2021-10-25,39,43,15993115,743100,6349180,8900835,12757608,510865,4787259,7442757
2021-10-25,24,43,10598410,479400,3950680,6168330,8391832,303553,3027088,5049063
2021-10-25,51,43,13560485,609400,5045620,7905465,11525647,409474,4040044,7069459
2021-10-25,42,43,20443185,1186900,8224940,11031345,17265727,672143,6636385,9956093
2021-10-25,20,43,4148765,210200,1672440,2266125,3277118,110156,1255737,1909631
2021-10-25,34,43,14739795,700100,5633020,8406675,12103219,451849,4545906,7105093
2021-10-25,21,43,6185465,302400,2631320,3251745,5241800,205464,2127355,2907501
2021-10-25,16,43,2383680,124000,935600,1324080,1681655,68547,662914,947860
2021-10-25,22,43,6065500,265800,2586100,3213600,4797565,163629,1951951,2679675
2021-10-25,48,43,43802845,2127500,16834520,24840825,33951683,1267889,12658871,20022520
2021-10-25,53,43,12133655,607000,4627540,6899115,10107737,405633,3740255,5954204
2021-10-25,12,43,34664565,1862100,13398720,19403745,28141859,1233570,10328803,16477160
2021-10-25,11,43,1289905,58300,493200,738405,1051871,31511,383304,636607
2021-10-25,31,43,2740510,124300,1017660,1598550,2288596,80353,825597,1377724
2021-10-25,15,43,2490360,101000,924460,1464900,1958424,51320,624695,1188393
2021-10-25,55,43,8043745,361100,3130220,4552425,7214379,281028,2696901,4235319
2021-10-25,56,43,716045,38800,324460,352785,557481,24395,241106,291468
2021-10-25,27,43,8428160,404700,3166280,4857180,7070207,300779,2528430,4238351
2021-10-25,8,43,8761605,389800,3375920,4995885,7579455,278816,2903951,4391125
2021-10-25,19,43,4521285,229900,1757240,2534145,3630676,148600,1400865,2080821
2021-10-25,17,43,18958985,928600,7055260,10975125,15703827,555859,5622866,9504606
2021-10-25,26,43,14303410,716900,5856560,7729950,11268319,377641,4276285,6612715
2021-10-25,50,43,1128950,61900,466840,600210,956952,44786,364231,547104
2021-10-25,47,43,9149530,414100,3543240,5192190,7292825,213750,2723005,4323276
2021-10-25,2,43,1130765,72400,444400,613965,856505,36036,325769,494118
2021-10-25,46,43,1290315,70200,535440,684675,1003680,32627,387417,583510
2021-10-24,8,43,8765245,389800,3379560,4995885,7554225,278445,2894150,4376072
2021-10-24,18,43,8882940,472700,3314920,5095320,7088039,260501,2538780,4263589
2021-10-24,55,43,8045285,361100,3131760,4552425,7200668,280919,2691312,4227307
2021-10-24,53,43,12133095,607000,4626980,6899115,10106908,405628,3740226,5953409
2021-10-24,34,43,14740915,700100,5634140,8406675,12082885,451478,4537037,7093999
2021-10-24,2,43,1130625,72400,444260,613965,854656,35983,324896,493195
2021-10-24,20,43,4149605,210200,1673280,2266125,3270476,110037,1252937,1905908
2021-10-24,9,43,5979725,280200,2367920,3331605,5288142,209574,1895023,3182162
2021-10-24,38,43,997460,42400,388300,566760,798109,33620,301450,462740
2021-10-24,36,43,31361765,1466900,11761620,18133245,27159991,1160675,9875503,16113428
2021-10-24,24,43,10599110,479400,3951380,6168330,8379027,303391,3022877,5040646
2021-10-24,33,43,2266650,130700,866500,1269450,1881623,94520,710064,1076976
2021-10-24,17,43,18960385,928600,7056660,10975125,15703598,555852,5622831,9504419
2021-10-24,54,43,3121715,131200,1241620,1748895,1587036,42182,703307,841133
2021-10-24,40,43,5268280,262700,2288420,2717160,4397550,124433,1764303,2507942
2021-10-24,32,43,4257280,210700,1523700,2522880,3573760,155942,1236585,2180934
2021-10-24,31,43,2741630,124300,1018780,1598550,2287986,80353,825597,1377114
2021-10-24,42,43,20442995,1186900,8225920,11030175,17237442,671411,6626127,9938798
2021-10-24,35,43,3143205,151200,1294800,1697205,2950926,100332,1193693,1650448
2021-10-24,41,43,7108975,375800,2806760,3926415,5524510,229860,2007736,3282339
2021-10-24,29,43,8277595,341300,3221780,4714515,6644019,211338,2327699,4102774
2021-10-24,37,43,15388530,728900,5997520,8662110,12098476,427312,4384329,7286087
2021-10-24,45,43,7399185,360600,3129000,3909585,5602484,185620,2117574,3297777
2021-10-24,15,43,2490360,101000,924460,1464900,1957661,51292,624587,1187766
2021-10-24,21,43,6186305,302400,2632160,3251745,5230895,205366,2122123,2901926
2021-10-24,27,43,8428860,404700,3166980,4857180,7057592,300488,2521666,4232794
2021-10-24,26,43,14303690,716900,5856840,7729950,11230996,377419,4263261,6588638
2021-10-24,5,43,4325610,202800,1881720,2241090,3184386,101174,1336570,1743615
2021-10-24,25,43,11646710,503500,4521340,6621870,10245452,342544,3841338,6061115
2021-10-24,49,43,4278930,194300,1566700,2517930,3641250,150342,1317456,2173200
2021-10-24,12,43,34669605,1862100,13403760,19403745,28096930,1232837,10305307,16456489
2021-10-24,19,43,4522545,229900,1758500,2534145,3630664,148599,1400865,2080810
2021-10-24,56,43,716185,38800,324600,352785,557460,24395,241106,291447
2021-10-24,51,43,13560765,609400,5045900,7905465,11502654,408847,4032614,7054523
2021-10-24,47,43,9150650,414100,3544360,5192190,7292825,213750,2723005,4323276
2021-10-24,46,43,1290315,70200,535440,684675,1003394,32623,387319,583326
2021-10-24,22,43,6066200,265800,2586800,3213600,4791611,163530,1949130,2676641
2021-10-24,50,43,1129090,61900,466980,600210,954319,44734,363931,544823
2021-10-24,39,43,15993535,743100,6349600,8900835,12733142,510542,4779279,7426597
